id_offre,id_entreprise,titre_poste,type_contrat,salaire_moyen,lien annonce
101,1,Revenue Manager,CDI,52500,https://candidat.francetravail.fr/offres/selection/detail/7494293
102,2,Data Analyst Junior,CDI,,https://www.linkedin.com/jobs/view/4364612133/?trackingId=&refId=&midToken=AQHZYM-1nYzuLQ&midSig=1L1wyXf64o9s81&trk=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job&trkEmail=eml-email_jobs_application_rejected_01-applied_jobs-0-applied_job-null-br8kdn~ml596ysp~9e-null-null&eid=br8kdn-ml596ysp-9e&otpToken=MTUwNDFlZTgxNTI5Y2JjNmIzMjQwNGVkNDExZWU3YjA4ZWM2ZDE0MDllYWM4NzYxNzBjMjAyNjc0YTVjNTlmMmY2ZGRkZmE1NGZkNmYwZTA1ZWJhZjhiMTA0YjU5NTYyNmUyYWQzNTIxMjVjYTZiZTAyYzExZiwxLDE%3D
103,3,Analyste des paramètres enregistrés de vols,CDI,44000,https://www.linkedin.com/jobs/view/analyste-des-param%C3%A8tres-enregistr%C3%A9s-de-vol-f-h-air-france-klm-at-aerocontact-com-4367272405/?originalSubdomain=fr
104,4,Analyst Pricing,CDI,35000,https://www.linkedin.com/jobs/view/4353523947/?refId=ae7d2f8e-d286-4b5d-b62d-04a46ad29f3e&trackingId=Q0RyCVlsQWS3EICWdCxUOA%3D%3D
105,5,Market Data Analyst,CDI,,https://recrutement.natixis.com/job/market-data-analyst-f-h-business-finance-management?sType=Indeed_Sponsored
106,5,Data Analyst  ,CDI,,https://recrutement.natixis.com/job/data-analyst-f-h-oversight-quality-controls?sType=Indeed_Sponsored
107,6,Data Analyst,CDI,50000,https://app.beetween.com/WeaselWeb/p/#/apply/job/18agydgm9j9g/data-analyst-h-f
108,7,Data Analyst,CDI,42700, https://www.linkedin.com/jobs/view/4365799616/?refId=daaadab6-b3b0-4924-b62d-3104d8e7cb4c&trackingId=cyHyurIMSAy9EzdM66URnw%3D%3D
109,8,Consultant Power BI,CDI,36000,https://candidat.francetravail.fr/offres/recherche/emploirecherche/detail/203MYWT
110,9,Data Analyst,CDI,40000,https://candidat.francetravail.fr/candidature/mescandidatures/357041780
111,10,Data Analyst,CDI,40000,https://candidat.francetravail.fr/candidature/mescandidatures/357041890
112,11,Data Analyst,CDI,34800,https://candidat.francetravail.fr/candidature/mescandidatures/357041953
113,12,Data Analyst,CDI,,https://candidat.francetravail.fr/candidature/mescandidatures/354305226
114,13,Yield Manager,CDI,45000,https://candidat.francetravail.fr/candidature/mescandidatures/357989929
115,14,Sales Analyst,CDD,37000,https://candidat.francetravail.fr/candidature/mescandidatures/357042080
116,15,Data Analyst,CDI,33600,https://candidat.francetravail.fr/candidature/mescandidatures/354305302
117,16,Data Analyst,CDI,,https://www.linkedin.com/jobs/view/4357421702/?refId=ea3aa294-887f-4d27-820f-00e96b35dd8e&trackingId=pEJPSLt0Suq5tn48nBzj5A%3D%3D
118,17,Data Analyst,CDI,,https://www.linkedin.com/jobs/view/4343764310/?refId=6bf6d9c6-2e11-42b0-9dc3-6a5bcb015b01&trackingId=cL2EZ59lTx2%2Bwt7H%2BEsFKw%3D%3D
119,18,Data Analyst Power BI,CDI,,https://www.linkedin.com/jobs/view/4329609447/?refId=24bd8cf4-f7de-434f-84c8-ffec6c689352&trackingId=BH%2FrWnZ8QL%2B52gJhbccHHw%3D%3D
120,18,Data Analyst Power BI,CDI,,https://www.linkedin.com/jobs/view/4367255066/?trackingId=eFRB6xsZTySgi6IsvW9GDQ%3D%3D&refId=E7jGw6oASBmZpRlpbNNTPw%3D%3D&midToken=AQHZYM-1nYzuLQ&midSig=0k8rLkvJ_N5c81&trk=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body_4367255066&trkEmail=eml-email_application_confirmation_with_nba_01-applied_jobs-0-jobcard_body_4367255066-null-br8kdn~ml15h5if~j0-null-null&eid=br8kdn-ml15h5if-j0&otpToken=MTUwNDFlZTgxNTI5Y2JjNmIzMjQwNGVkNDAxN2UwYmQ4Y2M5ZDA0MjkxYWM4ODYxNzBjMjAyNjc0YTVjNTlmMmY2ZGRkZmJhNmFjN2RlZWI3YjhmYzJiZTQ5YWFmYTI4OWE1NmJhMWI1ZjFiMDM3NjdmZmIwNywxLDE%3D
121,19,Data Analyst BI,CDI,,https://www.linkedin.com/jobs/view/4329281217/?refId=9738c7e6-9126-40ba-b73a-513cefdcd39c&trackingId=6ze1A8rIRaWVzAOGWiRxSg%3D%3D
122,20,Expert Power BI,CDI,55000,https://www.linkedin.com/jobs/view/4336033789/?refId=2f2ab304-f2bf-4003-b7ee-0d4cac0738b1&trackingId=17zjwdwhTDuF1M3NJ%2FZVCA%3D%3D
